group,function,value,sample_time_nanos,iteration_count
split by half size,,"(100, 100)",729390,26
split by half size,,"(100, 100)",1332572,52
split by half size,,"(100, 100)",2071421,78
split by half size,,"(100, 100)",2920671,104
split by half size,,"(100, 100)",3573151,130
split by half size,,"(100, 100)",4255914,156
split by half size,,"(100, 100)",5010676,182
split by half size,,"(100, 100)",5664245,208
split by half size,,"(100, 100)",6420486,234
split by half size,,"(100, 100)",7150425,260
split by half size,,"(100, 100)",7767428,286
split by half size,,"(100, 100)",8578556,312
split by half size,,"(100, 100)",9120567,338
split by half size,,"(100, 100)",9463599,364
split by half size,,"(100, 100)",10331376,390
split by half size,,"(100, 100)",10867490,416
split by half size,,"(100, 100)",11686510,442
split by half size,,"(100, 100)",12614577,468
split by half size,,"(100, 100)",13364759,494
split by half size,,"(100, 100)",14171673,520
split by half size,,"(100, 100)",14786028,546
split by half size,,"(100, 100)",15818040,572
split by half size,,"(100, 100)",16006188,598
split by half size,,"(100, 100)",17041790,624
split by half size,,"(100, 100)",17164723,650
split by half size,,"(100, 100)",17831456,676
split by half size,,"(100, 100)",18711629,702
split by half size,,"(100, 100)",19880664,728
split by half size,,"(100, 100)",20715778,754
split by half size,,"(100, 100)",20396028,780
split by half size,,"(100, 100)",21456875,806
split by half size,,"(100, 100)",22395547,832
split by half size,,"(100, 100)",23311933,858
split by half size,,"(100, 100)",24373289,884
split by half size,,"(100, 100)",24380830,910
split by half size,,"(100, 100)",25226571,936
split by half size,,"(100, 100)",26075981,962
split by half size,,"(100, 100)",27296976,988
split by half size,,"(100, 100)",27658102,1014
split by half size,,"(100, 100)",28210924,1040
split by half size,,"(100, 100)",29412426,1066
split by half size,,"(100, 100)",29688623,1092
split by half size,,"(100, 100)",30457191,1118
split by half size,,"(100, 100)",30636733,1144
split by half size,,"(100, 100)",31876930,1170
split by half size,,"(100, 100)",32167734,1196
split by half size,,"(100, 100)",33412409,1222
split by half size,,"(100, 100)",32962046,1248
split by half size,,"(100, 100)",33944446,1274
split by half size,,"(100, 100)",34665399,1300
split by half size,,"(100, 100)",36016993,1326
split by half size,,"(100, 100)",36442669,1352
split by half size,,"(100, 100)",35707721,1378
split by half size,,"(100, 100)",37519030,1404
split by half size,,"(100, 100)",38381565,1430
split by half size,,"(100, 100)",39188424,1456
split by half size,,"(100, 100)",40356541,1482
split by half size,,"(100, 100)",40466134,1508
split by half size,,"(100, 100)",41938128,1534
split by half size,,"(100, 100)",43099632,1560
split by half size,,"(100, 100)",43357724,1586
split by half size,,"(100, 100)",42781348,1612
split by half size,,"(100, 100)",44663607,1638
split by half size,,"(100, 100)",45475446,1664
split by half size,,"(100, 100)",45962592,1690
split by half size,,"(100, 100)",46609111,1716
split by half size,,"(100, 100)",46995597,1742
split by half size,,"(100, 100)",47615254,1768
split by half size,,"(100, 100)",47069288,1794
split by half size,,"(100, 100)",48073463,1820
split by half size,,"(100, 100)",51336353,1846
split by half size,,"(100, 100)",50374190,1872
split by half size,,"(100, 100)",51320627,1898
split by half size,,"(100, 100)",52120451,1924
split by half size,,"(100, 100)",52218638,1950
split by half size,,"(100, 100)",53482113,1976
split by half size,,"(100, 100)",53750329,2002
split by half size,,"(100, 100)",54028104,2028
split by half size,,"(100, 100)",53324086,2054
split by half size,,"(100, 100)",54148956,2080
split by half size,,"(100, 100)",56275755,2106
split by half size,,"(100, 100)",56875423,2132
split by half size,,"(100, 100)",56802248,2158
split by half size,,"(100, 100)",58867697,2184
split by half size,,"(100, 100)",59571247,2210
split by half size,,"(100, 100)",61357147,2236
split by half size,,"(100, 100)",61493161,2262
split by half size,,"(100, 100)",63212316,2288
split by half size,,"(100, 100)",62334665,2314
split by half size,,"(100, 100)",62110792,2340
split by half size,,"(100, 100)",61464109,2366
split by half size,,"(100, 100)",63432275,2392
split by half size,,"(100, 100)",63830434,2418
split by half size,,"(100, 100)",65175558,2444
split by half size,,"(100, 100)",66402563,2470
split by half size,,"(100, 100)",67188317,2496
split by half size,,"(100, 100)",68402420,2522
split by half size,,"(100, 100)",68427564,2548
split by half size,,"(100, 100)",69506542,2574
split by half size,,"(100, 100)",70642977,2600
