group,function,value,sample_time_nanos,iteration_count
split by median price,,"(100, 100)",867390,15
split by median price,,"(100, 100)",1767842,30
split by median price,,"(100, 100)",2667143,45
split by median price,,"(100, 100)",3446733,60
split by median price,,"(100, 100)",4287533,75
split by median price,,"(100, 100)",5237662,90
split by median price,,"(100, 100)",6061085,105
split by median price,,"(100, 100)",6830495,120
split by median price,,"(100, 100)",7682915,135
split by median price,,"(100, 100)",8386486,150
split by median price,,"(100, 100)",9365686,165
split by median price,,"(100, 100)",10069539,180
split by median price,,"(100, 100)",10762259,195
split by median price,,"(100, 100)",11459319,210
split by median price,,"(100, 100)",12535311,225
split by median price,,"(100, 100)",13459682,240
split by median price,,"(100, 100)",13994411,255
split by median price,,"(100, 100)",14581832,270
split by median price,,"(100, 100)",15668943,285
split by median price,,"(100, 100)",16504713,300
split by median price,,"(100, 100)",17092354,315
split by median price,,"(100, 100)",18632764,330
split by median price,,"(100, 100)",19366596,345
split by median price,,"(100, 100)",19399505,360
split by median price,,"(100, 100)",20479854,375
split by median price,,"(100, 100)",21247577,390
split by median price,,"(100, 100)",21864468,405
split by median price,,"(100, 100)",22969566,420
split by median price,,"(100, 100)",23951690,435
split by median price,,"(100, 100)",27422160,450
split by median price,,"(100, 100)",27341352,465
split by median price,,"(100, 100)",28944190,480
split by median price,,"(100, 100)",30231995,495
split by median price,,"(100, 100)",30397044,510
split by median price,,"(100, 100)",30419534,525
split by median price,,"(100, 100)",29901034,540
split by median price,,"(100, 100)",30979564,555
split by median price,,"(100, 100)",31640441,570
split by median price,,"(100, 100)",32348321,585
split by median price,,"(100, 100)",33515502,600
split by median price,,"(100, 100)",34456237,615
split by median price,,"(100, 100)",34747659,630
split by median price,,"(100, 100)",36079338,645
split by median price,,"(100, 100)",36395728,660
split by median price,,"(100, 100)",37029826,675
split by median price,,"(100, 100)",37597616,690
split by median price,,"(100, 100)",37937241,705
split by median price,,"(100, 100)",39124060,720
split by median price,,"(100, 100)",39563242,735
split by median price,,"(100, 100)",40477929,750
split by median price,,"(100, 100)",41487033,765
split by median price,,"(100, 100)",41653064,780
split by median price,,"(100, 100)",43512849,795
split by median price,,"(100, 100)",43498803,810
split by median price,,"(100, 100)",44185465,825
split by median price,,"(100, 100)",44631663,840
split by median price,,"(100, 100)",47169755,855
split by median price,,"(100, 100)",48336858,870
split by median price,,"(100, 100)",49288073,885
split by median price,,"(100, 100)",50613949,900
split by median price,,"(100, 100)",49743323,915
split by median price,,"(100, 100)",51866203,930
split by median price,,"(100, 100)",52487850,945
split by median price,,"(100, 100)",52360195,960
split by median price,,"(100, 100)",53497350,975
split by median price,,"(100, 100)",52044287,990
split by median price,,"(100, 100)",54669637,1005
split by median price,,"(100, 100)",54879505,1020
split by median price,,"(100, 100)",55783692,1035
split by median price,,"(100, 100)",56055753,1050
split by median price,,"(100, 100)",58298119,1065
split by median price,,"(100, 100)",58836940,1080
split by median price,,"(100, 100)",60980127,1095
split by median price,,"(100, 100)",61533916,1110
split by median price,,"(100, 100)",62837759,1125
split by median price,,"(100, 100)",69224506,1140
split by median price,,"(100, 100)",67877199,1155
split by median price,,"(100, 100)",63085869,1170
split by median price,,"(100, 100)",65797562,1185
split by median price,,"(100, 100)",72160430,1200
split by median price,,"(100, 100)",71966305,1215
split by median price,,"(100, 100)",74631479,1230
split by median price,,"(100, 100)",73679916,1245
split by median price,,"(100, 100)",70242038,1260
split by median price,,"(100, 100)",71511802,1275
split by median price,,"(100, 100)",73614834,1290
split by median price,,"(100, 100)",71766619,1305
split by median price,,"(100, 100)",72231241,1320
split by median price,,"(100, 100)",72530787,1335
split by median price,,"(100, 100)",72240555,1350
split by median price,,"(100, 100)",72370235,1365
split by median price,,"(100, 100)",74193990,1380
split by median price,,"(100, 100)",74843609,1395
split by median price,,"(100, 100)",75795870,1410
split by median price,,"(100, 100)",77913886,1425
split by median price,,"(100, 100)",79160448,1440
split by median price,,"(100, 100)",81438430,1455
split by median price,,"(100, 100)",80309976,1470
split by median price,,"(100, 100)",82327554,1485
split by median price,,"(100, 100)",81627581,1500
