group,function,value,sample_time_nanos,iteration_count
split by half size,,"(100, 10)",815281,65
split by half size,,"(100, 10)",1690511,130
split by half size,,"(100, 10)",2252862,195
split by half size,,"(100, 10)",3318452,260
split by half size,,"(100, 10)",4058783,325
split by half size,,"(100, 10)",4988293,390
split by half size,,"(100, 10)",5499775,455
split by half size,,"(100, 10)",6617704,520
split by half size,,"(100, 10)",7611536,585
split by half size,,"(100, 10)",8078896,650
split by half size,,"(100, 10)",9129267,715
split by half size,,"(100, 10)",9280467,780
split by half size,,"(100, 10)",10232877,845
split by half size,,"(100, 10)",11212128,910
split by half size,,"(100, 10)",12122129,975
split by half size,,"(100, 10)",13070300,1040
split by half size,,"(100, 10)",13775171,1105
split by half size,,"(100, 10)",14919211,1170
split by half size,,"(100, 10)",15595352,1235
split by half size,,"(100, 10)",16151364,1300
split by half size,,"(100, 10)",17661355,1365
split by half size,,"(100, 10)",18136264,1430
split by half size,,"(100, 10)",19299284,1495
split by half size,,"(100, 10)",20090437,1560
split by half size,,"(100, 10)",20145554,1625
split by half size,,"(100, 10)",22408883,1690
split by half size,,"(100, 10)",23014039,1755
split by half size,,"(100, 10)",22615271,1820
split by half size,,"(100, 10)",24024689,1885
split by half size,,"(100, 10)",24793758,1950
split by half size,,"(100, 10)",25883828,2015
split by half size,,"(100, 10)",26448451,2080
split by half size,,"(100, 10)",27391992,2145
split by half size,,"(100, 10)",28313421,2210
split by half size,,"(100, 10)",28981791,2275
split by half size,,"(100, 10)",28905580,2340
split by half size,,"(100, 10)",29749734,2405
split by half size,,"(100, 10)",30368563,2470
split by half size,,"(100, 10)",31664775,2535
split by half size,,"(100, 10)",32392716,2600
split by half size,,"(100, 10)",33336596,2665
split by half size,,"(100, 10)",34152782,2730
split by half size,,"(100, 10)",34387794,2795
split by half size,,"(100, 10)",35116110,2860
split by half size,,"(100, 10)",36126878,2925
split by half size,,"(100, 10)",36982878,2990
split by half size,,"(100, 10)",36800156,3055
split by half size,,"(100, 10)",38307932,3120
split by half size,,"(100, 10)",39479151,3185
split by half size,,"(100, 10)",41877407,3250
split by half size,,"(100, 10)",43135075,3315
split by half size,,"(100, 10)",44160044,3380
split by half size,,"(100, 10)",42817236,3445
split by half size,,"(100, 10)",44603970,3510
split by half size,,"(100, 10)",45508588,3575
split by half size,,"(100, 10)",47129174,3640
split by half size,,"(100, 10)",45803090,3705
split by half size,,"(100, 10)",46289959,3770
split by half size,,"(100, 10)",47778017,3835
split by half size,,"(100, 10)",48804067,3900
split by half size,,"(100, 10)",51233219,3965
split by half size,,"(100, 10)",51044610,4030
split by half size,,"(100, 10)",52516319,4095
split by half size,,"(100, 10)",52954337,4160
split by half size,,"(100, 10)",53894900,4225
split by half size,,"(100, 10)",53794147,4290
split by half size,,"(100, 10)",56264416,4355
split by half size,,"(100, 10)",57220371,4420
split by half size,,"(100, 10)",56941418,4485
split by half size,,"(100, 10)",57515848,4550
split by half size,,"(100, 10)",58944167,4615
split by half size,,"(100, 10)",60192221,4680
split by half size,,"(100, 10)",60221354,4745
split by half size,,"(100, 10)",58709644,4810
split by half size,,"(100, 10)",61334025,4875
split by half size,,"(100, 10)",61571768,4940
split by half size,,"(100, 10)",60526294,5005
split by half size,,"(100, 10)",63858369,5070
split by half size,,"(100, 10)",63342635,5135
split by half size,,"(100, 10)",64123838,5200
split by half size,,"(100, 10)",66858412,5265
split by half size,,"(100, 10)",66935997,5330
split by half size,,"(100, 10)",67458001,5395
split by half size,,"(100, 10)",67638468,5460
split by half size,,"(100, 10)",68385872,5525
split by half size,,"(100, 10)",67773896,5590
split by half size,,"(100, 10)",69837012,5655
split by half size,,"(100, 10)",69851821,5720
split by half size,,"(100, 10)",70616972,5785
split by half size,,"(100, 10)",69750244,5850
split by half size,,"(100, 10)",72198113,5915
split by half size,,"(100, 10)",77208263,5980
split by half size,,"(100, 10)",77296416,6045
split by half size,,"(100, 10)",78023047,6110
split by half size,,"(100, 10)",77964389,6175
split by half size,,"(100, 10)",75997264,6240
split by half size,,"(100, 10)",77247174,6305
split by half size,,"(100, 10)",81384319,6370
split by half size,,"(100, 10)",78767091,6435
split by half size,,"(100, 10)",81835005,6500
