group,function,value,sample_time_nanos,iteration_count
split by median price,,"(100, 100)",270860,63
split by median price,,"(100, 100)",567300,126
split by median price,,"(100, 100)",787681,189
split by median price,,"(100, 100)",1107061,252
split by median price,,"(100, 100)",1373080,315
split by median price,,"(100, 100)",1626801,378
split by median price,,"(100, 100)",1964242,441
split by median price,,"(100, 100)",2173360,504
split by median price,,"(100, 100)",2428840,567
split by median price,,"(100, 100)",2673673,630
split by median price,,"(100, 100)",2931042,693
split by median price,,"(100, 100)",3286705,756
split by median price,,"(100, 100)",3560844,819
split by median price,,"(100, 100)",3868894,882
split by median price,,"(100, 100)",4032334,945
split by median price,,"(100, 100)",4377915,1008
split by median price,,"(100, 100)",4681721,1071
split by median price,,"(100, 100)",4916397,1134
split by median price,,"(100, 100)",5120833,1197
split by median price,,"(100, 100)",5300373,1260
split by median price,,"(100, 100)",5699825,1323
split by median price,,"(100, 100)",5579372,1386
split by median price,,"(100, 100)",6182226,1449
split by median price,,"(100, 100)",6202095,1512
split by median price,,"(100, 100)",6583117,1575
split by median price,,"(100, 100)",6970178,1638
split by median price,,"(100, 100)",7118633,1701
split by median price,,"(100, 100)",6885446,1764
split by median price,,"(100, 100)",7608551,1827
split by median price,,"(100, 100)",7983116,1890
split by median price,,"(100, 100)",7828460,1953
split by median price,,"(100, 100)",8695446,2016
split by median price,,"(100, 100)",9000570,2079
split by median price,,"(100, 100)",8868937,2142
split by median price,,"(100, 100)",9058577,2205
split by median price,,"(100, 100)",9525502,2268
split by median price,,"(100, 100)",9786134,2331
split by median price,,"(100, 100)",9991137,2394
split by median price,,"(100, 100)",10216028,2457
split by median price,,"(100, 100)",10332357,2520
split by median price,,"(100, 100)",10765599,2583
split by median price,,"(100, 100)",10846983,2646
split by median price,,"(100, 100)",11345766,2709
split by median price,,"(100, 100)",11351980,2772
split by median price,,"(100, 100)",11986721,2835
split by median price,,"(100, 100)",12436590,2898
split by median price,,"(100, 100)",12577652,2961
split by median price,,"(100, 100)",13070600,3024
split by median price,,"(100, 100)",13145929,3087
split by median price,,"(100, 100)",13327330,3150
split by median price,,"(100, 100)",13866150,3213
split by median price,,"(100, 100)",14230910,3276
split by median price,,"(100, 100)",14354521,3339
split by median price,,"(100, 100)",13994107,3402
split by median price,,"(100, 100)",14525063,3465
split by median price,,"(100, 100)",14926384,3528
split by median price,,"(100, 100)",14814952,3591
split by median price,,"(100, 100)",15119679,3654
split by median price,,"(100, 100)",15516952,3717
split by median price,,"(100, 100)",15608435,3780
split by median price,,"(100, 100)",15814006,3843
split by median price,,"(100, 100)",16633290,3906
split by median price,,"(100, 100)",17496084,3969
split by median price,,"(100, 100)",17370592,4032
split by median price,,"(100, 100)",17442473,4095
split by median price,,"(100, 100)",17670834,4158
split by median price,,"(100, 100)",18070426,4221
split by median price,,"(100, 100)",18531323,4284
split by median price,,"(100, 100)",18955927,4347
split by median price,,"(100, 100)",18756125,4410
split by median price,,"(100, 100)",19093084,4473
split by median price,,"(100, 100)",19181295,4536
split by median price,,"(100, 100)",19542520,4599
split by median price,,"(100, 100)",19715846,4662
split by median price,,"(100, 100)",19586490,4725
split by median price,,"(100, 100)",20020002,4788
split by median price,,"(100, 100)",20004128,4851
split by median price,,"(100, 100)",20558656,4914
split by median price,,"(100, 100)",21422622,4977
split by median price,,"(100, 100)",21620514,5040
split by median price,,"(100, 100)",21813221,5103
split by median price,,"(100, 100)",21839201,5166
split by median price,,"(100, 100)",21598794,5229
split by median price,,"(100, 100)",21867867,5292
split by median price,,"(100, 100)",22954352,5355
split by median price,,"(100, 100)",23394992,5418
split by median price,,"(100, 100)",23021388,5481
split by median price,,"(100, 100)",23421739,5544
split by median price,,"(100, 100)",23427954,5607
split by median price,,"(100, 100)",24124263,5670
split by median price,,"(100, 100)",24540699,5733
split by median price,,"(100, 100)",24607904,5796
split by median price,,"(100, 100)",24854236,5859
split by median price,,"(100, 100)",24763119,5922
split by median price,,"(100, 100)",25095801,5985
split by median price,,"(100, 100)",26189662,6048
split by median price,,"(100, 100)",25996354,6111
split by median price,,"(100, 100)",25719515,6174
split by median price,,"(100, 100)",26108962,6237
split by median price,,"(100, 100)",26270831,6300
