group,function,value,sample_time_nanos,iteration_count
split by median price,,"(100, 10)",560431,169
split by median price,,"(100, 10)",1142601,338
split by median price,,"(100, 10)",1602821,507
split by median price,,"(100, 10)",2192762,676
split by median price,,"(100, 10)",2808542,845
split by median price,,"(100, 10)",3297164,1014
split by median price,,"(100, 10)",3916043,1183
split by median price,,"(100, 10)",4578293,1352
split by median price,,"(100, 10)",5048513,1521
split by median price,,"(100, 10)",5627243,1690
split by median price,,"(100, 10)",5919406,1859
split by median price,,"(100, 10)",6616675,2028
split by median price,,"(100, 10)",7144356,2197
split by median price,,"(100, 10)",7818915,2366
split by median price,,"(100, 10)",8190445,2535
split by median price,,"(100, 10)",9078806,2704
split by median price,,"(100, 10)",9123656,2873
split by median price,,"(100, 10)",9552019,3042
split by median price,,"(100, 10)",10068139,3211
split by median price,,"(100, 10)",10923334,3380
split by median price,,"(100, 10)",11250229,3549
split by median price,,"(100, 10)",11932785,3718
split by median price,,"(100, 10)",12420823,3887
split by median price,,"(100, 10)",12884209,4056
split by median price,,"(100, 10)",13349208,4225
split by median price,,"(100, 10)",14326431,4394
split by median price,,"(100, 10)",14373992,4563
split by median price,,"(100, 10)",14782252,4732
split by median price,,"(100, 10)",15596662,4901
split by median price,,"(100, 10)",16729353,5070
split by median price,,"(100, 10)",17126127,5239
split by median price,,"(100, 10)",17358864,5408
split by median price,,"(100, 10)",18583934,5577
split by median price,,"(100, 10)",19040133,5746
split by median price,,"(100, 10)",18965834,5915
split by median price,,"(100, 10)",20041577,6084
split by median price,,"(100, 10)",20589519,6253
split by median price,,"(100, 10)",21159646,6422
split by median price,,"(100, 10)",21850020,6591
split by median price,,"(100, 10)",22749129,6760
split by median price,,"(100, 10)",22946291,6929
split by median price,,"(100, 10)",23422787,7098
split by median price,,"(100, 10)",23766400,7267
split by median price,,"(100, 10)",24753068,7436
split by median price,,"(100, 10)",25067277,7605
split by median price,,"(100, 10)",25801504,7774
split by median price,,"(100, 10)",25236560,7943
split by median price,,"(100, 10)",25783757,8112
split by median price,,"(100, 10)",26776473,8281
split by median price,,"(100, 10)",26681238,8450
split by median price,,"(100, 10)",27780411,8619
split by median price,,"(100, 10)",27985803,8788
split by median price,,"(100, 10)",28237583,8957
split by median price,,"(100, 10)",29995788,9126
split by median price,,"(100, 10)",30225953,9295
split by median price,,"(100, 10)",31436985,9464
split by median price,,"(100, 10)",32029127,9633
split by median price,,"(100, 10)",32703882,9802
split by median price,,"(100, 10)",32437177,9971
split by median price,,"(100, 10)",33272380,10140
split by median price,,"(100, 10)",33539357,10309
split by median price,,"(100, 10)",33914003,10478
split by median price,,"(100, 10)",33882626,10647
split by median price,,"(100, 10)",35517920,10816
split by median price,,"(100, 10)",35447032,10985
split by median price,,"(100, 10)",36069716,11154
split by median price,,"(100, 10)",36137097,11323
split by median price,,"(100, 10)",36517761,11492
split by median price,,"(100, 10)",37773491,11661
split by median price,,"(100, 10)",39140125,11830
split by median price,,"(100, 10)",39347151,11999
split by median price,,"(100, 10)",38664866,12168
split by median price,,"(100, 10)",39723561,12337
split by median price,,"(100, 10)",40044962,12506
split by median price,,"(100, 10)",40473058,12675
split by median price,,"(100, 10)",40841650,12844
split by median price,,"(100, 10)",40461120,13013
split by median price,,"(100, 10)",42735332,13182
split by median price,,"(100, 10)",41792399,13351
split by median price,,"(100, 10)",42253488,13520
split by median price,,"(100, 10)",43043520,13689
split by median price,,"(100, 10)",43757697,13858
split by median price,,"(100, 10)",44886587,14027
split by median price,,"(100, 10)",46745025,14196
split by median price,,"(100, 10)",47069745,14365
split by median price,,"(100, 10)",46759522,14534
split by median price,,"(100, 10)",47423785,14703
split by median price,,"(100, 10)",47942225,14872
split by median price,,"(100, 10)",48803455,15041
split by median price,,"(100, 10)",49845135,15210
split by median price,,"(100, 10)",48886439,15379
split by median price,,"(100, 10)",49085332,15548
split by median price,,"(100, 10)",49656555,15717
split by median price,,"(100, 10)",51743724,15886
split by median price,,"(100, 10)",53056951,16055
split by median price,,"(100, 10)",53147311,16224
split by median price,,"(100, 10)",53251667,16393
split by median price,,"(100, 10)",54227124,16562
split by median price,,"(100, 10)",52471831,16731
split by median price,,"(100, 10)",52269484,16900
