group,function,value,sample_time_nanos,iteration_count
append meta,,"(1000, 10)",518361,8
append meta,,"(1000, 10)",983511,16
append meta,,"(1000, 10)",1447321,24
append meta,,"(1000, 10)",1966561,32
append meta,,"(1000, 10)",2169713,40
append meta,,"(1000, 10)",2732743,48
append meta,,"(1000, 10)",3344761,56
append meta,,"(1000, 10)",3791154,64
append meta,,"(1000, 10)",4310722,72
append meta,,"(1000, 10)",4812675,80
append meta,,"(1000, 10)",5346823,88
append meta,,"(1000, 10)",5669574,96
append meta,,"(1000, 10)",6030204,104
append meta,,"(1000, 10)",6626833,112
append meta,,"(1000, 10)",7187854,120
append meta,,"(1000, 10)",7594296,128
append meta,,"(1000, 10)",8126666,136
append meta,,"(1000, 10)",8543017,144
append meta,,"(1000, 10)",8988189,152
append meta,,"(1000, 10)",9417917,160
append meta,,"(1000, 10)",9636205,168
append meta,,"(1000, 10)",10529879,176
append meta,,"(1000, 10)",10866258,184
append meta,,"(1000, 10)",11321719,192
append meta,,"(1000, 10)",11504738,200
append meta,,"(1000, 10)",12371368,208
append meta,,"(1000, 10)",13040517,216
append meta,,"(1000, 10)",13092800,224
append meta,,"(1000, 10)",13316132,232
append meta,,"(1000, 10)",14230734,240
append meta,,"(1000, 10)",14633941,248
append meta,,"(1000, 10)",15111066,256
append meta,,"(1000, 10)",15693179,264
append meta,,"(1000, 10)",15950991,272
append meta,,"(1000, 10)",16761800,280
append meta,,"(1000, 10)",17000260,288
append meta,,"(1000, 10)",17482862,296
append meta,,"(1000, 10)",17782077,304
append meta,,"(1000, 10)",18611878,312
append meta,,"(1000, 10)",18687894,320
append meta,,"(1000, 10)",19539954,328
append meta,,"(1000, 10)",19934417,336
append meta,,"(1000, 10)",20398107,344
append meta,,"(1000, 10)",20928667,352
append meta,,"(1000, 10)",21476430,360
append meta,,"(1000, 10)",22134730,368
append meta,,"(1000, 10)",22507295,376
append meta,,"(1000, 10)",22977006,384
append meta,,"(1000, 10)",23330297,392
append meta,,"(1000, 10)",23816873,400
append meta,,"(1000, 10)",24461767,408
append meta,,"(1000, 10)",25162188,416
append meta,,"(1000, 10)",25491254,424
append meta,,"(1000, 10)",25774674,432
append meta,,"(1000, 10)",26598460,440
append meta,,"(1000, 10)",26960413,448
append meta,,"(1000, 10)",27285805,456
append meta,,"(1000, 10)",26855135,464
append meta,,"(1000, 10)",26672948,472
append meta,,"(1000, 10)",27549197,480
append meta,,"(1000, 10)",29373681,488
append meta,,"(1000, 10)",29760443,496
append meta,,"(1000, 10)",30061240,504
append meta,,"(1000, 10)",30872815,512
append meta,,"(1000, 10)",30687619,520
append meta,,"(1000, 10)",31610754,528
append meta,,"(1000, 10)",31909358,536
append meta,,"(1000, 10)",32680403,544
append meta,,"(1000, 10)",33151498,552
append meta,,"(1000, 10)",33533112,560
append meta,,"(1000, 10)",34312898,568
append meta,,"(1000, 10)",34724070,576
append meta,,"(1000, 10)",34795914,584
append meta,,"(1000, 10)",35181586,592
append meta,,"(1000, 10)",35476074,600
append meta,,"(1000, 10)",36405484,608
append meta,,"(1000, 10)",36735268,616
append meta,,"(1000, 10)",37462309,624
append meta,,"(1000, 10)",37659424,632
append meta,,"(1000, 10)",38282730,640
append meta,,"(1000, 10)",38371451,648
append meta,,"(1000, 10)",39164656,656
append meta,,"(1000, 10)",39830942,664
append meta,,"(1000, 10)",39923180,672
append meta,,"(1000, 10)",40368466,680
append meta,,"(1000, 10)",40001924,688
append meta,,"(1000, 10)",40328341,696
append meta,,"(1000, 10)",40998556,704
append meta,,"(1000, 10)",42299954,712
append meta,,"(1000, 10)",43058491,720
append meta,,"(1000, 10)",43256024,728
append meta,,"(1000, 10)",43790057,736
append meta,,"(1000, 10)",44268201,744
append meta,,"(1000, 10)",44915301,752
append meta,,"(1000, 10)",45461390,760
append meta,,"(1000, 10)",45407790,768
append meta,,"(1000, 10)",45603252,776
append meta,,"(1000, 10)",45248726,784
append meta,,"(1000, 10)",47017669,792
append meta,,"(1000, 10)",47289282,800
