group,function,value,sample_time_nanos,iteration_count
split by half size,,"(1000, 100)",822050,1
split by half size,,"(1000, 100)",1584242,2
split by half size,,"(1000, 100)",2191502,3
split by half size,,"(1000, 100)",2995093,4
split by half size,,"(1000, 100)",3814765,5
split by half size,,"(1000, 100)",4575983,6
split by half size,,"(1000, 100)",5138422,7
split by half size,,"(1000, 100)",6061783,8
split by half size,,"(1000, 100)",6670244,9
split by half size,,"(1000, 100)",7320165,10
split by half size,,"(1000, 100)",8080707,11
split by half size,,"(1000, 100)",8604628,12
split by half size,,"(1000, 100)",9381339,13
split by half size,,"(1000, 100)",10185410,14
split by half size,,"(1000, 100)",10805370,15
split by half size,,"(1000, 100)",11149776,16
split by half size,,"(1000, 100)",12409730,17
split by half size,,"(1000, 100)",12630859,18
split by half size,,"(1000, 100)",13299946,19
split by half size,,"(1000, 100)",14152032,20
split by half size,,"(1000, 100)",15340216,21
split by half size,,"(1000, 100)",15279138,22
split by half size,,"(1000, 100)",16339991,23
split by half size,,"(1000, 100)",16600150,24
split by half size,,"(1000, 100)",18392882,25
split by half size,,"(1000, 100)",18755119,26
split by half size,,"(1000, 100)",19705604,27
split by half size,,"(1000, 100)",20359099,28
split by half size,,"(1000, 100)",21436017,29
split by half size,,"(1000, 100)",21413788,30
split by half size,,"(1000, 100)",22761849,31
split by half size,,"(1000, 100)",23119200,32
split by half size,,"(1000, 100)",24348851,33
split by half size,,"(1000, 100)",24733574,34
split by half size,,"(1000, 100)",25633301,35
split by half size,,"(1000, 100)",25361161,36
split by half size,,"(1000, 100)",25935030,37
split by half size,,"(1000, 100)",26689784,38
split by half size,,"(1000, 100)",27253743,39
split by half size,,"(1000, 100)",28943388,40
split by half size,,"(1000, 100)",28185671,41
split by half size,,"(1000, 100)",30201450,42
split by half size,,"(1000, 100)",31249252,43
split by half size,,"(1000, 100)",32016968,44
split by half size,,"(1000, 100)",31868982,45
split by half size,,"(1000, 100)",33408624,46
split by half size,,"(1000, 100)",34739781,47
split by half size,,"(1000, 100)",34819156,48
split by half size,,"(1000, 100)",35867597,49
split by half size,,"(1000, 100)",36101455,50
split by half size,,"(1000, 100)",37258354,51
split by half size,,"(1000, 100)",36703798,52
split by half size,,"(1000, 100)",38202034,53
split by half size,,"(1000, 100)",38957402,54
split by half size,,"(1000, 100)",38972957,55
split by half size,,"(1000, 100)",39884257,56
split by half size,,"(1000, 100)",41135832,57
split by half size,,"(1000, 100)",41384034,58
split by half size,,"(1000, 100)",41425960,59
split by half size,,"(1000, 100)",42370694,60
split by half size,,"(1000, 100)",43178615,61
split by half size,,"(1000, 100)",44388300,62
split by half size,,"(1000, 100)",45564902,63
split by half size,,"(1000, 100)",47229467,64
split by half size,,"(1000, 100)",47531887,65
split by half size,,"(1000, 100)",48175011,66
split by half size,,"(1000, 100)",48859015,67
split by half size,,"(1000, 100)",48741729,68
split by half size,,"(1000, 100)",50060003,69
split by half size,,"(1000, 100)",48032896,70
split by half size,,"(1000, 100)",50529065,71
split by half size,,"(1000, 100)",49867349,72
split by half size,,"(1000, 100)",50185565,73
split by half size,,"(1000, 100)",51233586,74
split by half size,,"(1000, 100)",52645942,75
split by half size,,"(1000, 100)",55085563,76
split by half size,,"(1000, 100)",56030106,77
split by half size,,"(1000, 100)",56654576,78
split by half size,,"(1000, 100)",58203093,79
split by half size,,"(1000, 100)",59027938,80
split by half size,,"(1000, 100)",57388799,81
split by half size,,"(1000, 100)",59598244,82
split by half size,,"(1000, 100)",58142541,83
split by half size,,"(1000, 100)",58498598,84
split by half size,,"(1000, 100)",59866599,85
split by half size,,"(1000, 100)",61092469,86
split by half size,,"(1000, 100)",62662012,87
split by half size,,"(1000, 100)",64243825,88
split by half size,,"(1000, 100)",65307814,89
split by half size,,"(1000, 100)",63545730,90
split by half size,,"(1000, 100)",65806169,91
split by half size,,"(1000, 100)",66192821,92
split by half size,,"(1000, 100)",66932559,93
split by half size,,"(1000, 100)",68591829,94
split by half size,,"(1000, 100)",68849359,95
split by half size,,"(1000, 100)",70546205,96
split by half size,,"(1000, 100)",71212621,97
split by half size,,"(1000, 100)",71416700,98
split by half size,,"(1000, 100)",71913600,99
split by half size,,"(1000, 100)",71433957,100
