group,function,value,sample_time_nanos,iteration_count
append meta,,"(1000, 10)",497791,16
append meta,,"(1000, 10)",1025612,32
append meta,,"(1000, 10)",1558882,48
append meta,,"(1000, 10)",2111860,64
append meta,,"(1000, 10)",2635692,80
append meta,,"(1000, 10)",3240691,96
append meta,,"(1000, 10)",3776324,112
append meta,,"(1000, 10)",4243143,128
append meta,,"(1000, 10)",4807984,144
append meta,,"(1000, 10)",5341744,160
append meta,,"(1000, 10)",5870365,176
append meta,,"(1000, 10)",6142782,192
append meta,,"(1000, 10)",6851573,208
append meta,,"(1000, 10)",7510668,224
append meta,,"(1000, 10)",7799514,240
append meta,,"(1000, 10)",8587896,256
append meta,,"(1000, 10)",9056978,272
append meta,,"(1000, 10)",9581286,288
append meta,,"(1000, 10)",9965996,304
append meta,,"(1000, 10)",10515080,320
append meta,,"(1000, 10)",11140898,336
append meta,,"(1000, 10)",11688439,352
append meta,,"(1000, 10)",11874791,368
append meta,,"(1000, 10)",12454083,384
append meta,,"(1000, 10)",12951364,400
append meta,,"(1000, 10)",13657183,416
append meta,,"(1000, 10)",14089901,432
append meta,,"(1000, 10)",14827341,448
append meta,,"(1000, 10)",15088352,464
append meta,,"(1000, 10)",15983812,480
append meta,,"(1000, 10)",16503433,496
append meta,,"(1000, 10)",16896952,512
append meta,,"(1000, 10)",17128293,528
append meta,,"(1000, 10)",17903885,544
append meta,,"(1000, 10)",17678861,560
append meta,,"(1000, 10)",17613331,576
append meta,,"(1000, 10)",18389841,592
append meta,,"(1000, 10)",18816645,608
append meta,,"(1000, 10)",19642954,624
append meta,,"(1000, 10)",20319737,640
append meta,,"(1000, 10)",21801076,656
append meta,,"(1000, 10)",21792168,672
append meta,,"(1000, 10)",21950659,688
append meta,,"(1000, 10)",23259624,704
append meta,,"(1000, 10)",23796494,720
append meta,,"(1000, 10)",23985764,736
append meta,,"(1000, 10)",24861351,752
append meta,,"(1000, 10)",24846368,768
append meta,,"(1000, 10)",25488269,784
append meta,,"(1000, 10)",26448657,800
append meta,,"(1000, 10)",27109269,816
append meta,,"(1000, 10)",27293737,832
append meta,,"(1000, 10)",27324624,848
append meta,,"(1000, 10)",28590438,864
append meta,,"(1000, 10)",29256591,880
append meta,,"(1000, 10)",28664192,896
append meta,,"(1000, 10)",29266881,912
append meta,,"(1000, 10)",28495722,928
append meta,,"(1000, 10)",30828566,944
append meta,,"(1000, 10)",31153232,960
append meta,,"(1000, 10)",32186165,976
append meta,,"(1000, 10)",32582936,992
append meta,,"(1000, 10)",33315229,1008
append meta,,"(1000, 10)",33307222,1024
append meta,,"(1000, 10)",34813454,1040
append meta,,"(1000, 10)",35635323,1056
append meta,,"(1000, 10)",35213994,1072
append meta,,"(1000, 10)",35574027,1088
append meta,,"(1000, 10)",35949867,1104
append meta,,"(1000, 10)",36382704,1120
append meta,,"(1000, 10)",37707689,1136
append meta,,"(1000, 10)",36870904,1152
append meta,,"(1000, 10)",37915153,1168
append meta,,"(1000, 10)",39534210,1184
append meta,,"(1000, 10)",39207830,1200
append meta,,"(1000, 10)",40826393,1216
append meta,,"(1000, 10)",40409294,1232
append meta,,"(1000, 10)",40805440,1248
append meta,,"(1000, 10)",42084680,1264
append meta,,"(1000, 10)",42317544,1280
append meta,,"(1000, 10)",42583268,1296
append meta,,"(1000, 10)",42454105,1312
append meta,,"(1000, 10)",43620946,1328
append meta,,"(1000, 10)",43844413,1344
append meta,,"(1000, 10)",43839805,1360
append meta,,"(1000, 10)",44357769,1376
append meta,,"(1000, 10)",45327310,1392
append meta,,"(1000, 10)",45070895,1408
append meta,,"(1000, 10)",47025606,1424
append meta,,"(1000, 10)",47075942,1440
append meta,,"(1000, 10)",48133369,1456
append meta,,"(1000, 10)",48748666,1472
append meta,,"(1000, 10)",49499657,1488
append meta,,"(1000, 10)",49186046,1504
append meta,,"(1000, 10)",48999184,1520
append meta,,"(1000, 10)",50010151,1536
append meta,,"(1000, 10)",51080380,1552
append meta,,"(1000, 10)",50845320,1568
append meta,,"(1000, 10)",52572408,1584
append meta,,"(1000, 10)",50863514,1600
