group,function,value,sample_time_nanos,iteration_count
split by half size,,"(100, 10)",845791,65
split by half size,,"(100, 10)",1712381,130
split by half size,,"(100, 10)",2232172,195
split by half size,,"(100, 10)",2959632,260
split by half size,,"(100, 10)",4072513,325
split by half size,,"(100, 10)",5027113,390
split by half size,,"(100, 10)",5911335,455
split by half size,,"(100, 10)",6905315,520
split by half size,,"(100, 10)",7719868,585
split by half size,,"(100, 10)",8334785,650
split by half size,,"(100, 10)",9206248,715
split by half size,,"(100, 10)",10135097,780
split by half size,,"(100, 10)",10117359,845
split by half size,,"(100, 10)",10934198,910
split by half size,,"(100, 10)",11748349,975
split by half size,,"(100, 10)",12722089,1040
split by half size,,"(100, 10)",14064462,1105
split by half size,,"(100, 10)",15038850,1170
split by half size,,"(100, 10)",15466953,1235
split by half size,,"(100, 10)",16282534,1300
split by half size,,"(100, 10)",16760800,1365
split by half size,,"(100, 10)",17478604,1430
split by half size,,"(100, 10)",19167340,1495
split by half size,,"(100, 10)",19647457,1560
split by half size,,"(100, 10)",19796616,1625
split by half size,,"(100, 10)",20801657,1690
split by half size,,"(100, 10)",21833666,1755
split by half size,,"(100, 10)",22477610,1820
split by half size,,"(100, 10)",22665318,1885
split by half size,,"(100, 10)",24136559,1950
split by half size,,"(100, 10)",24735386,2015
split by half size,,"(100, 10)",26111669,2080
split by half size,,"(100, 10)",28281394,2145
split by half size,,"(100, 10)",26592017,2210
split by half size,,"(100, 10)",28149563,2275
split by half size,,"(100, 10)",30006883,2340
split by half size,,"(100, 10)",30382573,2405
split by half size,,"(100, 10)",30777191,2470
split by half size,,"(100, 10)",31411513,2535
split by half size,,"(100, 10)",32071614,2600
split by half size,,"(100, 10)",33512014,2665
split by half size,,"(100, 10)",33714213,2730
split by half size,,"(100, 10)",34890909,2795
split by half size,,"(100, 10)",36157505,2860
split by half size,,"(100, 10)",37409008,2925
split by half size,,"(100, 10)",36957286,2990
split by half size,,"(100, 10)",37834587,3055
split by half size,,"(100, 10)",37241581,3120
split by half size,,"(100, 10)",40669066,3185
split by half size,,"(100, 10)",39394198,3250
split by half size,,"(100, 10)",41147332,3315
split by half size,,"(100, 10)",42349642,3380
split by half size,,"(100, 10)",43026099,3445
split by half size,,"(100, 10)",42549011,3510
split by half size,,"(100, 10)",44756254,3575
split by half size,,"(100, 10)",47152784,3640
split by half size,,"(100, 10)",46247694,3705
split by half size,,"(100, 10)",46703464,3770
split by half size,,"(100, 10)",45942196,3835
split by half size,,"(100, 10)",49117190,3900
split by half size,,"(100, 10)",50805431,3965
split by half size,,"(100, 10)",51834979,4030
split by half size,,"(100, 10)",52914063,4095
split by half size,,"(100, 10)",52539012,4160
split by half size,,"(100, 10)",54410880,4225
split by half size,,"(100, 10)",54313182,4290
split by half size,,"(100, 10)",52934530,4355
split by half size,,"(100, 10)",56175603,4420
split by half size,,"(100, 10)",54530435,4485
split by half size,,"(100, 10)",56216902,4550
split by half size,,"(100, 10)",58155886,4615
split by half size,,"(100, 10)",60369501,4680
split by half size,,"(100, 10)",60185766,4745
split by half size,,"(100, 10)",58135847,4810
split by half size,,"(100, 10)",59728168,4875
split by half size,,"(100, 10)",62309067,4940
split by half size,,"(100, 10)",61222004,5005
split by half size,,"(100, 10)",62030854,5070
split by half size,,"(100, 10)",65193523,5135
split by half size,,"(100, 10)",64746380,5200
split by half size,,"(100, 10)",66072776,5265
split by half size,,"(100, 10)",64652014,5330
split by half size,,"(100, 10)",68930909,5395
split by half size,,"(100, 10)",67251832,5460
split by half size,,"(100, 10)",69533690,5525
split by half size,,"(100, 10)",71168230,5590
split by half size,,"(100, 10)",70677139,5655
split by half size,,"(100, 10)",69360970,5720
split by half size,,"(100, 10)",73076628,5785
split by half size,,"(100, 10)",74658008,5850
split by half size,,"(100, 10)",75859420,5915
split by half size,,"(100, 10)",73709554,5980
split by half size,,"(100, 10)",75347305,6045
split by half size,,"(100, 10)",76710549,6110
split by half size,,"(100, 10)",77019398,6175
split by half size,,"(100, 10)",79294733,6240
split by half size,,"(100, 10)",79820008,6305
split by half size,,"(100, 10)",78739280,6370
split by half size,,"(100, 10)",78877664,6435
split by half size,,"(100, 10)",81995900,6500
