group,function,value,sample_time_nanos,iteration_count
split by median price,,"(1000, 100)",1114721,1
split by median price,,"(1000, 100)",2172692,2
split by median price,,"(1000, 100)",3179422,3
split by median price,,"(1000, 100)",4091132,4
split by median price,,"(1000, 100)",5458684,5
split by median price,,"(1000, 100)",5581645,6
split by median price,,"(1000, 100)",7124396,7
split by median price,,"(1000, 100)",7804477,8
split by median price,,"(1000, 100)",8406586,9
split by median price,,"(1000, 100)",9409056,10
split by median price,,"(1000, 100)",10262778,11
split by median price,,"(1000, 100)",11607846,12
split by median price,,"(1000, 100)",11494222,13
split by median price,,"(1000, 100)",12829530,14
split by median price,,"(1000, 100)",13731938,15
split by median price,,"(1000, 100)",15392531,16
split by median price,,"(1000, 100)",15703861,17
split by median price,,"(1000, 100)",16270515,18
split by median price,,"(1000, 100)",17723083,19
split by median price,,"(1000, 100)",18790604,20
split by median price,,"(1000, 100)",19883800,21
split by median price,,"(1000, 100)",19729148,22
split by median price,,"(1000, 100)",21066125,23
split by median price,,"(1000, 100)",23098158,24
split by median price,,"(1000, 100)",25722207,25
split by median price,,"(1000, 100)",24580094,26
split by median price,,"(1000, 100)",24897720,27
split by median price,,"(1000, 100)",25828287,28
split by median price,,"(1000, 100)",26650299,29
split by median price,,"(1000, 100)",29071677,30
split by median price,,"(1000, 100)",29756527,31
split by median price,,"(1000, 100)",30337939,32
split by median price,,"(1000, 100)",30883831,33
split by median price,,"(1000, 100)",31828198,34
split by median price,,"(1000, 100)",33334981,35
split by median price,,"(1000, 100)",35007184,36
split by median price,,"(1000, 100)",33918302,37
split by median price,,"(1000, 100)",36358390,38
split by median price,,"(1000, 100)",36835329,39
split by median price,,"(1000, 100)",36975827,40
split by median price,,"(1000, 100)",38455361,41
split by median price,,"(1000, 100)",40593463,42
split by median price,,"(1000, 100)",40496238,43
split by median price,,"(1000, 100)",42413239,44
split by median price,,"(1000, 100)",40145655,45
split by median price,,"(1000, 100)",41430645,46
split by median price,,"(1000, 100)",44935611,47
split by median price,,"(1000, 100)",46359734,48
split by median price,,"(1000, 100)",46672418,49
split by median price,,"(1000, 100)",47313585,50
split by median price,,"(1000, 100)",48916889,51
split by median price,,"(1000, 100)",48511334,52
split by median price,,"(1000, 100)",48593148,53
split by median price,,"(1000, 100)",51210403,54
split by median price,,"(1000, 100)",51751689,55
split by median price,,"(1000, 100)",51354209,56
split by median price,,"(1000, 100)",55968566,57
split by median price,,"(1000, 100)",54873211,58
split by median price,,"(1000, 100)",56069106,59
split by median price,,"(1000, 100)",57771152,60
split by median price,,"(1000, 100)",54720494,61
split by median price,,"(1000, 100)",61065182,62
split by median price,,"(1000, 100)",60377511,63
split by median price,,"(1000, 100)",60321647,64
split by median price,,"(1000, 100)",56928470,65
split by median price,,"(1000, 100)",59867904,66
split by median price,,"(1000, 100)",61144584,67
split by median price,,"(1000, 100)",65510535,68
split by median price,,"(1000, 100)",65021143,69
split by median price,,"(1000, 100)",65266108,70
split by median price,,"(1000, 100)",64704083,71
split by median price,,"(1000, 100)",66446659,72
split by median price,,"(1000, 100)",69107726,73
split by median price,,"(1000, 100)",69269666,74
split by median price,,"(1000, 100)",69615274,75
split by median price,,"(1000, 100)",66143961,76
split by median price,,"(1000, 100)",73171852,77
split by median price,,"(1000, 100)",72804236,78
split by median price,,"(1000, 100)",74204476,79
split by median price,,"(1000, 100)",77162326,80
split by median price,,"(1000, 100)",77309434,81
split by median price,,"(1000, 100)",77776670,82
split by median price,,"(1000, 100)",76368158,83
split by median price,,"(1000, 100)",79088967,84
split by median price,,"(1000, 100)",84041982,85
split by median price,,"(1000, 100)",80198945,86
split by median price,,"(1000, 100)",81698415,87
split by median price,,"(1000, 100)",80501735,88
split by median price,,"(1000, 100)",83241047,89
split by median price,,"(1000, 100)",80741495,90
split by median price,,"(1000, 100)",82215044,91
split by median price,,"(1000, 100)",84300518,92
split by median price,,"(1000, 100)",86648319,93
split by median price,,"(1000, 100)",84254823,94
split by median price,,"(1000, 100)",81691797,95
split by median price,,"(1000, 100)",91493822,96
split by median price,,"(1000, 100)",91198190,97
split by median price,,"(1000, 100)",95499851,98
split by median price,,"(1000, 100)",94027662,99
split by median price,,"(1000, 100)",92315296,100
