group,function,value,sample_time_nanos,iteration_count
single push,,"(100, 10)",518230,183
single push,,"(100, 10)",993810,366
single push,,"(100, 10)",1547041,549
single push,,"(100, 10)",2057562,732
single push,,"(100, 10)",2550271,915
single push,,"(100, 10)",3225785,1098
single push,,"(100, 10)",3569633,1281
single push,,"(100, 10)",4072204,1464
single push,,"(100, 10)",4619115,1647
single push,,"(100, 10)",5064255,1830
single push,,"(100, 10)",5717564,2013
single push,,"(100, 10)",6041816,2196
single push,,"(100, 10)",6789585,2379
single push,,"(100, 10)",7202757,2562
single push,,"(100, 10)",7464665,2745
single push,,"(100, 10)",8258503,2928
single push,,"(100, 10)",8693838,3111
single push,,"(100, 10)",9165681,3294
single push,,"(100, 10)",9993900,3477
single push,,"(100, 10)",10485198,3660
single push,,"(100, 10)",10608680,3843
single push,,"(100, 10)",11578332,4026
single push,,"(100, 10)",11612878,4209
single push,,"(100, 10)",12546561,4392
single push,,"(100, 10)",13035049,4575
single push,,"(100, 10)",13511870,4758
single push,,"(100, 10)",13935711,4941
single push,,"(100, 10)",14568221,5124
single push,,"(100, 10)",14829429,5307
single push,,"(100, 10)",15338091,5490
single push,,"(100, 10)",16107504,5673
single push,,"(100, 10)",16101871,5856
single push,,"(100, 10)",16805537,6039
single push,,"(100, 10)",17640925,6222
single push,,"(100, 10)",17755344,6405
single push,,"(100, 10)",18617647,6588
single push,,"(100, 10)",19272272,6771
single push,,"(100, 10)",19115934,6954
single push,,"(100, 10)",18717534,7137
single push,,"(100, 10)",20551507,7320
single push,,"(100, 10)",20831257,7503
single push,,"(100, 10)",21418149,7686
single push,,"(100, 10)",21381188,7869
single push,,"(100, 10)",22491108,8052
single push,,"(100, 10)",23550268,8235
single push,,"(100, 10)",23808701,8418
single push,,"(100, 10)",24171477,8601
single push,,"(100, 10)",24856480,8784
single push,,"(100, 10)",25267070,8967
single push,,"(100, 10)",25265043,9150
single push,,"(100, 10)",26581188,9333
single push,,"(100, 10)",26959155,9516
single push,,"(100, 10)",27086615,9699
single push,,"(100, 10)",27559447,9882
single push,,"(100, 10)",27948243,10065
single push,,"(100, 10)",28906528,10248
single push,,"(100, 10)",29067188,10431
single push,,"(100, 10)",29607195,10614
single push,,"(100, 10)",29381848,10797
single push,,"(100, 10)",29724095,10980
single push,,"(100, 10)",30401444,11163
single push,,"(100, 10)",31004326,11346
single push,,"(100, 10)",31732119,11529
single push,,"(100, 10)",33124466,11712
single push,,"(100, 10)",32541579,11895
single push,,"(100, 10)",33739481,12078
single push,,"(100, 10)",33657497,12261
single push,,"(100, 10)",34564601,12444
single push,,"(100, 10)",35059437,12627
single push,,"(100, 10)",35345299,12810
single push,,"(100, 10)",35830676,12993
single push,,"(100, 10)",36894475,13176
single push,,"(100, 10)",36615536,13359
single push,,"(100, 10)",37119365,13542
single push,,"(100, 10)",36798122,13725
single push,,"(100, 10)",37766070,13908
single push,,"(100, 10)",38331077,14091
single push,,"(100, 10)",40636369,14274
single push,,"(100, 10)",40631848,14457
single push,,"(100, 10)",41056832,14640
single push,,"(100, 10)",41116454,14823
single push,,"(100, 10)",42353930,15006
single push,,"(100, 10)",41791500,15189
single push,,"(100, 10)",42102794,15372
single push,,"(100, 10)",43237157,15555
single push,,"(100, 10)",43090220,15738
single push,,"(100, 10)",43366376,15921
single push,,"(100, 10)",43576314,16104
single push,,"(100, 10)",44021401,16287
single push,,"(100, 10)",44455716,16470
single push,,"(100, 10)",45750400,16653
single push,,"(100, 10)",46594209,16836
single push,,"(100, 10)",46263474,17019
single push,,"(100, 10)",47459572,17202
single push,,"(100, 10)",48592612,17385
single push,,"(100, 10)",49011827,17568
single push,,"(100, 10)",49035811,17751
single push,,"(100, 10)",49728302,17934
single push,,"(100, 10)",50044883,18117
single push,,"(100, 10)",50905710,18300
