group,function,value,sample_time_nanos,iteration_count
split by half size,,"(1000, 10)",905141,6
split by half size,,"(1000, 10)",1791082,12
split by half size,,"(1000, 10)",2629502,18
split by half size,,"(1000, 10)",3106061,24
split by half size,,"(1000, 10)",4361183,30
split by half size,,"(1000, 10)",5257394,36
split by half size,,"(1000, 10)",5951986,42
split by half size,,"(1000, 10)",6971316,48
split by half size,,"(1000, 10)",7671023,54
split by half size,,"(1000, 10)",8399693,60
split by half size,,"(1000, 10)",9594466,66
split by half size,,"(1000, 10)",10529248,72
split by half size,,"(1000, 10)",11002249,78
split by half size,,"(1000, 10)",11723279,84
split by half size,,"(1000, 10)",12880231,90
split by half size,,"(1000, 10)",13720970,96
split by half size,,"(1000, 10)",14514253,102
split by half size,,"(1000, 10)",15641991,108
split by half size,,"(1000, 10)",16549885,114
split by half size,,"(1000, 10)",17423195,120
split by half size,,"(1000, 10)",17509474,126
split by half size,,"(1000, 10)",18784875,132
split by half size,,"(1000, 10)",19037444,138
split by half size,,"(1000, 10)",20572135,144
split by half size,,"(1000, 10)",21895157,150
split by half size,,"(1000, 10)",21700217,156
split by half size,,"(1000, 10)",22878177,162
split by half size,,"(1000, 10)",23996699,168
split by half size,,"(1000, 10)",25062449,174
split by half size,,"(1000, 10)",26070320,180
split by half size,,"(1000, 10)",26982068,186
split by half size,,"(1000, 10)",26915143,192
split by half size,,"(1000, 10)",27962122,198
split by half size,,"(1000, 10)",28482311,204
split by half size,,"(1000, 10)",30164282,210
split by half size,,"(1000, 10)",30814114,216
split by half size,,"(1000, 10)",31013751,222
split by half size,,"(1000, 10)",31469554,228
split by half size,,"(1000, 10)",32587324,234
split by half size,,"(1000, 10)",33307026,240
split by half size,,"(1000, 10)",34335294,246
split by half size,,"(1000, 10)",35282667,252
split by half size,,"(1000, 10)",36153460,258
split by half size,,"(1000, 10)",37925097,264
split by half size,,"(1000, 10)",37194543,270
split by half size,,"(1000, 10)",38571968,276
split by half size,,"(1000, 10)",40916218,282
split by half size,,"(1000, 10)",41147723,288
split by half size,,"(1000, 10)",42132886,294
split by half size,,"(1000, 10)",43463501,300
split by half size,,"(1000, 10)",44093731,306
split by half size,,"(1000, 10)",44980643,312
split by half size,,"(1000, 10)",46514892,318
split by half size,,"(1000, 10)",46719862,324
split by half size,,"(1000, 10)",47480932,330
split by half size,,"(1000, 10)",48865364,336
split by half size,,"(1000, 10)",48315759,342
split by half size,,"(1000, 10)",50380520,348
split by half size,,"(1000, 10)",50208539,354
split by half size,,"(1000, 10)",51702600,360
split by half size,,"(1000, 10)",52875234,366
split by half size,,"(1000, 10)",52584643,372
split by half size,,"(1000, 10)",54926115,378
split by half size,,"(1000, 10)",54558808,384
split by half size,,"(1000, 10)",55829002,390
split by half size,,"(1000, 10)",56926494,396
split by half size,,"(1000, 10)",58705275,402
split by half size,,"(1000, 10)",58897721,408
split by half size,,"(1000, 10)",59959089,414
split by half size,,"(1000, 10)",61259787,420
split by half size,,"(1000, 10)",61870182,426
split by half size,,"(1000, 10)",62737411,432
split by half size,,"(1000, 10)",62598997,438
split by half size,,"(1000, 10)",64166122,444
split by half size,,"(1000, 10)",64723748,450
split by half size,,"(1000, 10)",66037590,456
split by half size,,"(1000, 10)",67073287,462
split by half size,,"(1000, 10)",67567303,468
split by half size,,"(1000, 10)",68533455,474
split by half size,,"(1000, 10)",69725085,480
split by half size,,"(1000, 10)",69961425,486
split by half size,,"(1000, 10)",71100364,492
split by half size,,"(1000, 10)",72048873,498
split by half size,,"(1000, 10)",72431504,504
split by half size,,"(1000, 10)",72705095,510
split by half size,,"(1000, 10)",72701516,516
split by half size,,"(1000, 10)",75095744,522
split by half size,,"(1000, 10)",76577678,528
split by half size,,"(1000, 10)",76449337,534
split by half size,,"(1000, 10)",78886008,540
split by half size,,"(1000, 10)",80270895,546
split by half size,,"(1000, 10)",80229999,552
split by half size,,"(1000, 10)",81298479,558
split by half size,,"(1000, 10)",81119411,564
split by half size,,"(1000, 10)",82234962,570
split by half size,,"(1000, 10)",84126852,576
split by half size,,"(1000, 10)",84093852,582
split by half size,,"(1000, 10)",84667356,588
split by half size,,"(1000, 10)",84706895,594
split by half size,,"(1000, 10)",86721310,600
