group,function,value,sample_time_nanos,iteration_count
split by half size,,"(1000, 10)",809190,9
split by half size,,"(1000, 10)",1552042,18
split by half size,,"(1000, 10)",2215842,27
split by half size,,"(1000, 10)",2956623,36
split by half size,,"(1000, 10)",3846723,45
split by half size,,"(1000, 10)",4562494,54
split by half size,,"(1000, 10)",5388425,63
split by half size,,"(1000, 10)",6016083,72
split by half size,,"(1000, 10)",6758927,81
split by half size,,"(1000, 10)",7511583,90
split by half size,,"(1000, 10)",8289136,99
split by half size,,"(1000, 10)",9102967,108
split by half size,,"(1000, 10)",9844887,117
split by half size,,"(1000, 10)",10221670,126
split by half size,,"(1000, 10)",11507836,135
split by half size,,"(1000, 10)",11613139,144
split by half size,,"(1000, 10)",12942522,153
split by half size,,"(1000, 10)",13534321,162
split by half size,,"(1000, 10)",14366098,171
split by half size,,"(1000, 10)",15110102,180
split by half size,,"(1000, 10)",15980355,189
split by half size,,"(1000, 10)",16547092,198
split by half size,,"(1000, 10)",17169426,207
split by half size,,"(1000, 10)",18050944,216
split by half size,,"(1000, 10)",18529635,225
split by half size,,"(1000, 10)",19608624,234
split by half size,,"(1000, 10)",19376703,243
split by half size,,"(1000, 10)",20950953,252
split by half size,,"(1000, 10)",21795058,261
split by half size,,"(1000, 10)",22780448,270
split by half size,,"(1000, 10)",23649951,279
split by half size,,"(1000, 10)",24044076,288
split by half size,,"(1000, 10)",24372230,297
split by half size,,"(1000, 10)",25210342,306
split by half size,,"(1000, 10)",26281765,315
split by half size,,"(1000, 10)",26857293,324
split by half size,,"(1000, 10)",27732681,333
split by half size,,"(1000, 10)",28347193,342
split by half size,,"(1000, 10)",28897233,351
split by half size,,"(1000, 10)",30323720,360
split by half size,,"(1000, 10)",30749650,369
split by half size,,"(1000, 10)",32093136,378
split by half size,,"(1000, 10)",32112807,387
split by half size,,"(1000, 10)",33506905,396
split by half size,,"(1000, 10)",33197926,405
split by half size,,"(1000, 10)",34486265,414
split by half size,,"(1000, 10)",34341896,423
split by half size,,"(1000, 10)",36253776,432
split by half size,,"(1000, 10)",36106868,441
split by half size,,"(1000, 10)",37707599,450
split by half size,,"(1000, 10)",37694709,459
split by half size,,"(1000, 10)",38722917,468
split by half size,,"(1000, 10)",39608458,477
split by half size,,"(1000, 10)",40192970,486
split by half size,,"(1000, 10)",40636562,495
split by half size,,"(1000, 10)",41250770,504
split by half size,,"(1000, 10)",42564983,513
split by half size,,"(1000, 10)",43796086,522
split by half size,,"(1000, 10)",44350357,531
split by half size,,"(1000, 10)",44255524,540
split by half size,,"(1000, 10)",43099013,549
split by half size,,"(1000, 10)",46199443,558
split by half size,,"(1000, 10)",47098351,567
split by half size,,"(1000, 10)",46344057,576
split by half size,,"(1000, 10)",48146489,585
split by half size,,"(1000, 10)",48520046,594
split by half size,,"(1000, 10)",49418705,603
split by half size,,"(1000, 10)",50296770,612
split by half size,,"(1000, 10)",50566974,621
split by half size,,"(1000, 10)",51195349,630
split by half size,,"(1000, 10)",53487837,639
split by half size,,"(1000, 10)",53273081,648
split by half size,,"(1000, 10)",54777417,657
split by half size,,"(1000, 10)",55953971,666
split by half size,,"(1000, 10)",56604210,675
split by half size,,"(1000, 10)",56856603,684
split by half size,,"(1000, 10)",56798581,693
split by half size,,"(1000, 10)",57259440,702
split by half size,,"(1000, 10)",58614804,711
split by half size,,"(1000, 10)",57862675,720
split by half size,,"(1000, 10)",59270746,729
split by half size,,"(1000, 10)",61361896,738
split by half size,,"(1000, 10)",62875335,747
split by half size,,"(1000, 10)",63353426,756
split by half size,,"(1000, 10)",64900748,765
split by half size,,"(1000, 10)",65255360,774
split by half size,,"(1000, 10)",65660134,783
split by half size,,"(1000, 10)",65859008,792
split by half size,,"(1000, 10)",66356062,801
split by half size,,"(1000, 10)",66974489,810
split by half size,,"(1000, 10)",67065933,819
split by half size,,"(1000, 10)",68409080,828
split by half size,,"(1000, 10)",69581618,837
split by half size,,"(1000, 10)",69947260,846
split by half size,,"(1000, 10)",71673839,855
split by half size,,"(1000, 10)",72493112,864
split by half size,,"(1000, 10)",73300236,873
split by half size,,"(1000, 10)",72384337,882
split by half size,,"(1000, 10)",74579258,891
split by half size,,"(1000, 10)",75014684,900
