group,function,value,sample_time_nanos,iteration_count
split by median price,,"(1000, 100)",285930,2
split by median price,,"(1000, 100)",528660,4
split by median price,,"(1000, 100)",769962,6
split by median price,,"(1000, 100)",1025361,8
split by median price,,"(1000, 100)",1237740,10
split by median price,,"(1000, 100)",1544851,12
split by median price,,"(1000, 100)",1708791,14
split by median price,,"(1000, 100)",1841151,16
split by median price,,"(1000, 100)",2124271,18
split by median price,,"(1000, 100)",2436423,20
split by median price,,"(1000, 100)",2613171,22
split by median price,,"(1000, 100)",2924140,24
split by median price,,"(1000, 100)",3088381,26
split by median price,,"(1000, 100)",3307783,28
split by median price,,"(1000, 100)",3521895,30
split by median price,,"(1000, 100)",3942895,32
split by median price,,"(1000, 100)",4098091,34
split by median price,,"(1000, 100)",4568223,36
split by median price,,"(1000, 100)",4703014,38
split by median price,,"(1000, 100)",4989453,40
split by median price,,"(1000, 100)",5234575,42
split by median price,,"(1000, 100)",5312355,44
split by median price,,"(1000, 100)",5710293,46
split by median price,,"(1000, 100)",5786985,48
split by median price,,"(1000, 100)",6112684,50
split by median price,,"(1000, 100)",6334456,52
split by median price,,"(1000, 100)",6593745,54
split by median price,,"(1000, 100)",6494785,56
split by median price,,"(1000, 100)",6897907,58
split by median price,,"(1000, 100)",7061574,60
split by median price,,"(1000, 100)",7802736,62
split by median price,,"(1000, 100)",7904375,64
split by median price,,"(1000, 100)",8096568,66
split by median price,,"(1000, 100)",8132986,68
split by median price,,"(1000, 100)",8505561,70
split by median price,,"(1000, 100)",8784867,72
split by median price,,"(1000, 100)",8562881,74
split by median price,,"(1000, 100)",8810177,76
split by median price,,"(1000, 100)",9234596,78
split by median price,,"(1000, 100)",9893178,80
split by median price,,"(1000, 100)",10018582,82
split by median price,,"(1000, 100)",10259409,84
split by median price,,"(1000, 100)",10600009,86
split by median price,,"(1000, 100)",10898314,88
split by median price,,"(1000, 100)",11003205,90
split by median price,,"(1000, 100)",11035746,92
split by median price,,"(1000, 100)",11062341,94
split by median price,,"(1000, 100)",10985799,96
split by median price,,"(1000, 100)",11328547,98
split by median price,,"(1000, 100)",12006083,100
split by median price,,"(1000, 100)",12336201,102
split by median price,,"(1000, 100)",12543435,104
split by median price,,"(1000, 100)",12637593,106
split by median price,,"(1000, 100)",13251258,108
split by median price,,"(1000, 100)",13371877,110
split by median price,,"(1000, 100)",13738077,112
split by median price,,"(1000, 100)",13820540,114
split by median price,,"(1000, 100)",14063882,116
split by median price,,"(1000, 100)",14277122,118
split by median price,,"(1000, 100)",14165869,120
split by median price,,"(1000, 100)",14336403,122
split by median price,,"(1000, 100)",14926551,124
split by median price,,"(1000, 100)",15206927,126
split by median price,,"(1000, 100)",14963542,128
split by median price,,"(1000, 100)",15482406,130
split by median price,,"(1000, 100)",15669072,132
split by median price,,"(1000, 100)",16188863,134
split by median price,,"(1000, 100)",16354126,136
split by median price,,"(1000, 100)",16671357,138
split by median price,,"(1000, 100)",16657327,140
split by median price,,"(1000, 100)",16819029,142
split by median price,,"(1000, 100)",16803133,144
split by median price,,"(1000, 100)",17491189,146
split by median price,,"(1000, 100)",17175706,148
split by median price,,"(1000, 100)",17910584,150
split by median price,,"(1000, 100)",18425593,152
split by median price,,"(1000, 100)",18771686,154
split by median price,,"(1000, 100)",18881151,156
split by median price,,"(1000, 100)",19325187,158
split by median price,,"(1000, 100)",19618204,160
split by median price,,"(1000, 100)",19361475,162
split by median price,,"(1000, 100)",19721636,164
split by median price,,"(1000, 100)",20019025,166
split by median price,,"(1000, 100)",20463941,168
split by median price,,"(1000, 100)",20799511,170
split by median price,,"(1000, 100)",21134903,172
split by median price,,"(1000, 100)",20975341,174
split by median price,,"(1000, 100)",20577331,176
split by median price,,"(1000, 100)",20928919,178
split by median price,,"(1000, 100)",20909761,180
split by median price,,"(1000, 100)",22306438,182
split by median price,,"(1000, 100)",22958563,184
split by median price,,"(1000, 100)",23757145,186
split by median price,,"(1000, 100)",23693389,188
split by median price,,"(1000, 100)",23387247,190
split by median price,,"(1000, 100)",22631031,192
split by median price,,"(1000, 100)",22490103,194
split by median price,,"(1000, 100)",23490384,196
split by median price,,"(1000, 100)",23902619,198
split by median price,,"(1000, 100)",24526562,200
