group,function,value,sample_time_nanos,iteration_count
split by median price,,"(1000, 10)",876011,6
split by median price,,"(1000, 10)",1734312,12
split by median price,,"(1000, 10)",2686222,18
split by median price,,"(1000, 10)",3472922,24
split by median price,,"(1000, 10)",4205584,30
split by median price,,"(1000, 10)",5227614,36
split by median price,,"(1000, 10)",6065434,42
split by median price,,"(1000, 10)",6961305,48
split by median price,,"(1000, 10)",7834076,54
split by median price,,"(1000, 10)",8477547,60
split by median price,,"(1000, 10)",9382396,66
split by median price,,"(1000, 10)",10257748,72
split by median price,,"(1000, 10)",10482359,78
split by median price,,"(1000, 10)",12207350,84
split by median price,,"(1000, 10)",12747509,90
split by median price,,"(1000, 10)",13080250,96
split by median price,,"(1000, 10)",14415292,102
split by median price,,"(1000, 10)",15093140,108
split by median price,,"(1000, 10)",15462361,114
split by median price,,"(1000, 10)",16816814,120
split by median price,,"(1000, 10)",17143594,126
split by median price,,"(1000, 10)",17870161,132
split by median price,,"(1000, 10)",18645305,138
split by median price,,"(1000, 10)",20274225,144
split by median price,,"(1000, 10)",20649076,150
split by median price,,"(1000, 10)",21668875,156
split by median price,,"(1000, 10)",22762439,162
split by median price,,"(1000, 10)",23719745,168
split by median price,,"(1000, 10)",24246428,174
split by median price,,"(1000, 10)",25532371,180
split by median price,,"(1000, 10)",26245331,186
split by median price,,"(1000, 10)",27818428,192
split by median price,,"(1000, 10)",27853131,198
split by median price,,"(1000, 10)",28550180,204
split by median price,,"(1000, 10)",29460333,210
split by median price,,"(1000, 10)",31681852,216
split by median price,,"(1000, 10)",32513732,222
split by median price,,"(1000, 10)",32897013,228
split by median price,,"(1000, 10)",33788477,234
split by median price,,"(1000, 10)",34440673,240
split by median price,,"(1000, 10)",35052627,246
split by median price,,"(1000, 10)",35858391,252
split by median price,,"(1000, 10)",36792570,258
split by median price,,"(1000, 10)",36396309,264
split by median price,,"(1000, 10)",37061737,270
split by median price,,"(1000, 10)",37638699,276
split by median price,,"(1000, 10)",39606522,282
split by median price,,"(1000, 10)",40227482,288
split by median price,,"(1000, 10)",40939043,294
split by median price,,"(1000, 10)",41216852,300
split by median price,,"(1000, 10)",42932262,306
split by median price,,"(1000, 10)",42549287,312
split by median price,,"(1000, 10)",44303513,318
split by median price,,"(1000, 10)",43203411,324
split by median price,,"(1000, 10)",46105606,330
split by median price,,"(1000, 10)",48384962,336
split by median price,,"(1000, 10)",49424115,342
split by median price,,"(1000, 10)",50387699,348
split by median price,,"(1000, 10)",50825475,354
split by median price,,"(1000, 10)",51186539,360
split by median price,,"(1000, 10)",52126819,366
split by median price,,"(1000, 10)",52928381,372
split by median price,,"(1000, 10)",52732301,378
split by median price,,"(1000, 10)",53127909,384
split by median price,,"(1000, 10)",53260894,390
split by median price,,"(1000, 10)",54885127,396
split by median price,,"(1000, 10)",57241125,402
split by median price,,"(1000, 10)",57845983,408
split by median price,,"(1000, 10)",57124142,414
split by median price,,"(1000, 10)",58879357,420
split by median price,,"(1000, 10)",59647255,426
split by median price,,"(1000, 10)",60659119,432
split by median price,,"(1000, 10)",62542673,438
split by median price,,"(1000, 10)",64396570,444
split by median price,,"(1000, 10)",64417032,450
split by median price,,"(1000, 10)",65448556,456
split by median price,,"(1000, 10)",65811979,462
split by median price,,"(1000, 10)",65143944,468
split by median price,,"(1000, 10)",64394649,474
split by median price,,"(1000, 10)",65837237,480
split by median price,,"(1000, 10)",68137983,486
split by median price,,"(1000, 10)",68746413,492
split by median price,,"(1000, 10)",69264355,498
split by median price,,"(1000, 10)",72419986,504
split by median price,,"(1000, 10)",73069067,510
split by median price,,"(1000, 10)",74510796,516
split by median price,,"(1000, 10)",74582142,522
split by median price,,"(1000, 10)",75741326,528
split by median price,,"(1000, 10)",74312909,534
split by median price,,"(1000, 10)",75122555,540
split by median price,,"(1000, 10)",75441503,546
split by median price,,"(1000, 10)",76087519,552
split by median price,,"(1000, 10)",76185030,558
split by median price,,"(1000, 10)",78111278,564
split by median price,,"(1000, 10)",80972811,570
split by median price,,"(1000, 10)",81450051,576
split by median price,,"(1000, 10)",82023351,582
split by median price,,"(1000, 10)",83141283,588
split by median price,,"(1000, 10)",82680009,594
split by median price,,"(1000, 10)",83964215,600
